Age,City,Economic Status,Profession,Most Used Pokemon Type,Average Pokemon Level,PokéBall Usage,Win Ratio,Battle Strategy,Number of Migrations,Rare Item Holder,Team Rocket
70,Fuchsia City,Low,Elite Trainer,Water,84,DarkBall,52,Unpredictable,22,FALSE,No
48,Viridian City,Middle,Casino Worker,Water,80,UltraBall,52,Unpredictable,4,FALSE,No
54,Pewter City,Low,Scientist,Grass,35,HealBall,59,Unpredictable,12,TRUE,Yes
69,Cerulean City,Middle,Gym Leader Assistant,Fire,63,GreatBall,34,Unpredictable,25,FALSE,No
32,Vermilion City,Middle,Scientist,Poison,5,LuxuryBall,27,Defensive,12,FALSE,No
19,Celadon City,Middle,Daycare Worker,Poison,78,NetBall,71,Defensive,11,FALSE,No
21,Pewter City,Low,Black Market Dealer,Flying,58,GreatBall,66,Unpredictable,20,FALSE,No
17,Pewter City,Low,Black Market Dealer,Psychic,40,TimerBall,25,Unpredictable,3,FALSE,No
14,Cerulean City,Low,Rocket Grunt,Dark,7,NetBall,63,Defensive,2,FALSE,No
17,Celadon City,Low,Rocket Grunt,Grass,51,DuskBall,52,Defensive,9,FALSE,No
10,Cinnabar Island,Middle,Gym Leader Assistant,Fighting,16,GreatBall,28,Aggressive,25,FALSE,No
50,Pallet Town,Low,Daycare Worker,Psychic,27,UltraBall,36,Aggressive,17,FALSE,No
67,Vermilion City,Low,Rocket Grunt,Poison,16,UltraBall,40,Unpredictable,24,TRUE,Yes
26,Pewter City,Low,Daycare Worker,Flying,90,DarkBall,60,Aggressive,17,FALSE,No
38,Cinnabar Island,Low,Breeder,Steel,14,DuskBall,85,Unpredictable,15,FALSE,No
34,Viridian City,Low,Elite Trainer,Flying,38,NetBall,61,Defensive,22,TRUE,Yes
34,Fuchsia City,Middle,Champion,Water,83,DarkBall,23,Aggressive,13,FALSE,No
50,Saffron City,Low,Nurse,Poison,93,MasterBall,28,Defensive,8,FALSE,No
43,Pallet Town,Middle,Elite Trainer,Ground,51,MasterBall,47,Unpredictable,7,FALSE,No
20,Celadon City,Middle,PokéMart Seller,Steel,24,DuskBall,36,Unpredictable,28,TRUE,Yes
15,Vermilion City,Low,Champion,Fighting,72,HealBall,84,Unpredictable,6,FALSE,No
55,Saffron City,Middle,Biker,Electric,92,LuxuryBall,77,Unpredictable,12,FALSE,No
38,Pewter City,Low,Police Officer,Ground,45,PokéBall,57,Defensive,13,FALSE,No
31,Cinnabar Island,Low,Nurse,Normal,18,MasterBall,31,Unpredictable,27,TRUE,Yes
40,Celadon City,Low,Breeder,Flying,33,DarkBall,74,Aggressive,17,FALSE,No
56,Pewter City,Middle,Underground Battler,Psychic,96,DarkBall,41,Aggressive,22,FALSE,No
29,Pewter City,High,Fisherman,Ice,99,LuxuryBall,46,Defensive,13,TRUE,Yes
56,Saffron City,Middle,Breeder,Fighting,90,DuskBall,49,Defensive,18,FALSE,No
42,Pallet Town,Low,Fisherman,Fire,58,HealBall,25,Aggressive,21,FALSE,No
47,Lavender Town,Middle,Fisherman,Electric,96,HealBall,32,Aggressive,14,FALSE,No
32,Saffron City,Low,Black Market Dealer,Ghost,30,PokéBall,47,Aggressive,14,FALSE,No
15,Cerulean City,Low,Breeder,Normal,53,GreatBall,40,Defensive,15,FALSE,No
20,Pallet Town,Middle,PokéMart Seller,Rock,16,MasterBall,75,Unpredictable,10,FALSE,Yes
26,Cinnabar Island,Low,Casino Worker,Poison,98,GreatBall,51,Unpredictable,25,FALSE,No
29,Celadon City,Middle,Biker,Grass,19,GreatBall,51,Aggressive,5,FALSE,No
44,Celadon City,Low,Black Market Dealer,Flying,84,TimerBall,62,Aggressive,6,FALSE,No
51,Vermilion City,Middle,Rocket Grunt,Psychic,34,UltraBall,36,Defensive,18,FALSE,No
44,Pewter City,High,Nurse,Poison,78,DuskBall,74,Unpredictable,6,FALSE,No
55,Pallet Town,High,Fisherman,Poison,59,HealBall,66,Unpredictable,19,FALSE,No
57,Saffron City,Middle,Scientist,Normal,77,LuxuryBall,22,Defensive,17,FALSE,No
50,Saffron City,Middle,Nurse,Water,78,UltraBall,74,Unpredictable,11,FALSE,No
18,Cerulean City,Low,Rocket Grunt,Electric,55,NetBall,38,Unpredictable,25,FALSE,No
69,Pewter City,Low,Police Officer,Flying,26,UltraBall,75,Unpredictable,22,FALSE,No
40,Pallet Town,Low,Scientist,Rock,57,DarkBall,37,Aggressive,11,FALSE,No
44,Cinnabar Island,Low,Champion,Grass,66,HealBall,57,Aggressive,17,FALSE,No
44,Pallet Town,Low,Gym Leader Assistant,Bug,100,UltraBall,77,Unpredictable,11,FALSE,No
49,Saffron City,Middle,Black Market Dealer,Electric,79,NetBall,48,Aggressive,25,FALSE,No
35,Cinnabar Island,Low,Researcher,Fighting,28,UltraBall,46,Defensive,17,FALSE,No
46,Saffron City,Middle,Police Officer,Fairy,43,DuskBall,75,Aggressive,26,TRUE,Yes
10,Vermilion City,Low,PokéMart Seller,Fire,98,LuxuryBall,71,Aggressive,10,FALSE,No
33,Lavender Town,Middle,Police Officer,Ground,9,MasterBall,63,Unpredictable,18,FALSE,No
30,Saffron City,High,Researcher,Ice,65,HealBall,27,Unpredictable,24,FALSE,No
44,Pewter City,Middle,Elite Trainer,Steel,34,NetBall,68,Unpredictable,11,FALSE,No
32,Fuchsia City,Middle,PokéMart Seller,Bug,47,DuskBall,44,Defensive,22,FALSE,No
31,Vermilion City,Middle,Gym Leader Assistant,Ground,23,TimerBall,43,Aggressive,9,FALSE,No
26,Pallet Town,Low,Scientist,Fairy,27,UltraBall,34,Unpredictable,2,FALSE,No
58,Viridian City,Low,Gym Leader Assistant,Grass,13,UltraBall,78,Defensive,17,FALSE,No
10,Celadon City,Low,Daycare Worker,Ice,90,DuskBall,59,Unpredictable,12,FALSE,No
36,Viridian City,Low,Scientist,Ice,22,PokéBall,74,Defensive,8,FALSE,No
13,Fuchsia City,Middle,Daycare Worker,Flying,74,PokéBall,59,Unpredictable,4,FALSE,No
53,Cinnabar Island,Middle,Elite Trainer,Ice,9,MasterBall,66,Unpredictable,0,FALSE,No
11,Viridian City,Low,Nurse,Electric,8,DarkBall,61,Unpredictable,15,FALSE,No
40,Saffron City,Low,Underground Battler,Dark,100,PokéBall,75,Defensive,25,FALSE,No
54,Pewter City,Low,Gym Leader Assistant,Fairy,69,PokéBall,57,Defensive,3,FALSE,No
64,Celadon City,Low,Rocket Grunt,Steel,71,DuskBall,73,Unpredictable,6,FALSE,No
52,Pewter City,Middle,Black Market Dealer,Grass,54,PokéBall,41,Defensive,6,FALSE,No
51,Saffron City,Middle,Black Market Dealer,Poison,38,LuxuryBall,76,Defensive,13,TRUE,Yes
16,Pewter City,Low,Underground Battler,Water,89,MasterBall,68,Unpredictable,10,FALSE,No
53,Saffron City,Low,Black Market Dealer,Normal,56,HealBall,84,Aggressive,19,FALSE,No
24,Cerulean City,Middle,Rocket Grunt,Dark,30,TimerBall,66,Unpredictable,11,TRUE,Yes
11,Lavender Town,Low,Police Officer,Flying,20,DarkBall,78,Defensive,5,FALSE,Yes
43,Pewter City,Middle,Underground Battler,Grass,53,TimerBall,53,Defensive,22,FALSE,No
67,Lavender Town,Middle,Casino Worker,Electric,52,PokéBall,26,Unpredictable,18,FALSE,No
39,Fuchsia City,Low,Researcher,Bug,90,MasterBall,55,Aggressive,17,FALSE,No
15,Saffron City,High,Elite Trainer,Steel,98,HealBall,76,Unpredictable,17,FALSE,No
37,Celadon City,Low,Rocket Grunt,Ghost,93,DarkBall,23,Defensive,6,FALSE,No
32,Pewter City,Low,Fisherman,Rock,40,MasterBall,70,Unpredictable,14,FALSE,No
49,Pallet Town,Middle,Champion,Fairy,60,LuxuryBall,33,Aggressive,19,FALSE,No
43,Cerulean City,High,Rocket Grunt,Steel,31,HealBall,46,Defensive,20,FALSE,No
28,Saffron City,Low,Gym Leader Assistant,Flying,46,GreatBall,35,Unpredictable,1,FALSE,No
33,Pewter City,High,Gym Leader Assistant,Dragon,56,TimerBall,73,Aggressive,25,FALSE,No
40,Celadon City,Middle,Underground Battler,Grass,59,UltraBall,23,Unpredictable,1,FALSE,No
41,Cinnabar Island,Low,Biker,Steel,50,HealBall,53,Aggressive,25,FALSE,No
26,Fuchsia City,Low,Police Officer,Fire,24,TimerBall,32,Unpredictable,7,FALSE,No
67,Cinnabar Island,Middle,Fisherman,Dark,46,TimerBall,21,Defensive,21,FALSE,No
58,Vermilion City,Middle,Black Market Dealer,Poison,7,LuxuryBall,48,Defensive,28,TRUE,Yes
43,Fuchsia City,High,Elite Trainer,Rock,66,UltraBall,42,Unpredictable,6,FALSE,No
52,Pallet Town,Middle,Elite Trainer,Dark,90,UltraBall,84,Aggressive,11,FALSE,No
19,Cerulean City,Low,PokéMart Seller,Rock,20,TimerBall,43,Aggressive,3,TRUE,Yes
22,Saffron City,Middle,Researcher,Fire,6,DuskBall,73,Defensive,6,FALSE,No
48,Pallet Town,Middle,Police Officer,Electric,41,DuskBall,42,Aggressive,20,FALSE,Yes
30,Vermilion City,High,Breeder,Electric,71,GreatBall,83,Unpredictable,2,FALSE,No
61,Lavender Town,Low,Black Market Dealer,Grass,51,LuxuryBall,37,Aggressive,22,FALSE,No
44,Cinnabar Island,Middle,Black Market Dealer,Fighting,75,NetBall,34,Aggressive,9,TRUE,Yes
34,Cinnabar Island,Middle,Casino Worker,Grass,90,PokéBall,55,Defensive,6,FALSE,No
32,Pewter City,Middle,Daycare Worker,Fairy,60,DuskBall,23,Defensive,9,FALSE,No
70,Saffron City,Low,Underground Battler,Ice,96,PokéBall,78,Aggressive,14,FALSE,No
55,Vermilion City,Low,Breeder,Flying,82,HealBall,40,Aggressive,19,FALSE,No
57,Celadon City,Low,PokéMart Seller,Poison,35,GreatBall,70,Aggressive,20,TRUE,Yes
51,Viridian City,Middle,Researcher,Normal,87,PokéBall,40,Aggressive,10,FALSE,No
37,Viridian City,Low,Elite Trainer,Ghost,17,GreatBall,49,Aggressive,24,FALSE,No
52,Saffron City,Middle,Elite Trainer,Flying,32,LuxuryBall,50,Unpredictable,13,TRUE,Yes
25,Cerulean City,Low,Casino Worker,Psychic,38,DuskBall,56,Unpredictable,25,FALSE,No
11,Viridian City,High,Casino Worker,Poison,96,LuxuryBall,47,Aggressive,0,FALSE,No
27,Cinnabar Island,Middle,Police Officer,Ghost,14,MasterBall,33,Aggressive,29,FALSE,Yes
68,Lavender Town,Middle,Scientist,Fighting,81,MasterBall,58,Aggressive,24,FALSE,No
16,Fuchsia City,High,Underground Battler,Fire,10,HealBall,38,Unpredictable,16,FALSE,No
55,Cinnabar Island,Middle,Casino Worker,Bug,93,MasterBall,72,Defensive,18,FALSE,No
70,Vermilion City,Low,Biker,Dark,42,UltraBall,51,Unpredictable,24,FALSE,No
21,Pallet Town,Middle,Underground Battler,Dragon,60,LuxuryBall,78,Defensive,12,FALSE,No
25,Saffron City,High,Nurse,Flying,55,TimerBall,76,Unpredictable,20,TRUE,Yes
16,Viridian City,Low,Casino Worker,Dark,55,TimerBall,32,Defensive,3,FALSE,No
42,Pewter City,Middle,PokéMart Seller,Ground,74,GreatBall,20,Defensive,18,FALSE,No
22,Lavender Town,High,Champion,Rock,62,UltraBall,62,Defensive,7,FALSE,No
16,Viridian City,Low,PokéMart Seller,Ice,32,UltraBall,20,Unpredictable,17,FALSE,No
24,Pallet Town,High,Nurse,Flying,55,TimerBall,72,Unpredictable,16,FALSE,No
68,Viridian City,Low,Rocket Grunt,Bug,67,PokéBall,59,Aggressive,1,FALSE,No
68,Celadon City,Middle,Gym Leader Assistant,Fairy,63,DuskBall,43,Aggressive,13,FALSE,No
36,Pallet Town,Middle,Police Officer,Fire,14,LuxuryBall,50,Unpredictable,25,FALSE,No
49,Cerulean City,Low,Casino Worker,Dark,96,UltraBall,52,Defensive,16,FALSE,Yes
37,Pallet Town,Low,Biker,Fairy,24,MasterBall,79,Defensive,25,FALSE,No
29,Vermilion City,High,Biker,Normal,72,NetBall,85,Unpredictable,19,FALSE,No
34,Cerulean City,Middle,Police Officer,Dark,53,MasterBall,70,Unpredictable,4,FALSE,No
65,Pewter City,High,Underground Battler,Fairy,57,TimerBall,24,Defensive,23,FALSE,No
39,Saffron City,Low,Police Officer,Psychic,69,GreatBall,79,Unpredictable,17,FALSE,No
18,Cinnabar Island,Low,Biker,Steel,84,NetBall,76,Defensive,18,FALSE,No
41,Celadon City,Low,Black Market Dealer,Dark,97,NetBall,31,Aggressive,22,TRUE,Yes
57,Fuchsia City,Middle,Black Market Dealer,Poison,65,PokéBall,69,Unpredictable,9,FALSE,No
59,Lavender Town,High,Scientist,Grass,16,DuskBall,86,Unpredictable,23,TRUE,Yes
21,Cerulean City,Middle,Casino Worker,Ghost,94,PokéBall,35,Defensive,1,FALSE,No
32,Saffron City,Low,Champion,Psychic,39,HealBall,40,Unpredictable,13,FALSE,No
45,Lavender Town,Middle,PokéMart Seller,Steel,82,GreatBall,62,Unpredictable,1,FALSE,No
60,Pewter City,Middle,Champion,Grass,74,TimerBall,72,Unpredictable,20,FALSE,No
25,Celadon City,Low,Fisherman,Fire,87,GreatBall,62,Unpredictable,0,FALSE,No
10,Viridian City,Middle,Rocket Grunt,Bug,91,LuxuryBall,20,Defensive,1,FALSE,No
24,Cerulean City,High,Biker,Fairy,48,HealBall,84,Defensive,19,FALSE,No
30,Cerulean City,Low,Champion,Ground,72,MasterBall,60,Unpredictable,25,FALSE,No
66,Cerulean City,Low,Champion,Rock,66,DarkBall,71,Unpredictable,17,FALSE,No
37,Fuchsia City,Middle,Fisherman,Normal,9,NetBall,78,Defensive,13,FALSE,No
10,Pallet Town,Middle,Rocket Grunt,Psychic,98,DarkBall,80,Defensive,1,FALSE,No
48,Vermilion City,Middle,PokéMart Seller,Bug,18,MasterBall,56,Aggressive,21,FALSE,No
57,Cerulean City,High,Elite Trainer,Ice,94,DuskBall,31,Unpredictable,14,FALSE,No
13,Pallet Town,High,Casino Worker,Bug,37,TimerBall,83,Aggressive,3,FALSE,No
50,Cinnabar Island,Middle,Rocket Grunt,Fighting,42,LuxuryBall,46,Defensive,21,FALSE,No
66,Celadon City,Low,PokéMart Seller,Dark,33,TimerBall,29,Aggressive,1,FALSE,No
52,Cinnabar Island,Low,Researcher,Steel,100,TimerBall,71,Aggressive,14,FALSE,Yes
49,Vermilion City,Low,Fisherman,Grass,35,HealBall,67,Unpredictable,1,FALSE,No
61,Celadon City,Low,Fisherman,Ice,16,DarkBall,30,Defensive,23,FALSE,No
46,Fuchsia City,Middle,Fisherman,Dragon,53,DuskBall,71,Defensive,21,FALSE,No
32,Viridian City,Low,Police Officer,Poison,59,UltraBall,74,Defensive,11,FALSE,No
14,Saffron City,Low,Researcher,Fire,89,MasterBall,69,Unpredictable,18,FALSE,No
54,Vermilion City,Low,Fisherman,Fire,52,NetBall,30,Defensive,6,FALSE,No
54,Saffron City,Low,Police Officer,Dark,47,GreatBall,85,Aggressive,10,FALSE,No
13,Celadon City,Middle,PokéMart Seller,Dark,84,PokéBall,79,Aggressive,19,FALSE,No
40,Pallet Town,High,Underground Battler,Grass,59,PokéBall,59,Aggressive,1,FALSE,No
39,Cinnabar Island,High,Breeder,Water,37,PokéBall,85,Aggressive,11,FALSE,No
36,Viridian City,Middle,Champion,Electric,9,GreatBall,61,Aggressive,22,FALSE,No
65,Saffron City,Middle,Researcher,Water,84,UltraBall,20,Defensive,3,FALSE,No
42,Cinnabar Island,Middle,Underground Battler,Psychic,22,MasterBall,47,Unpredictable,8,FALSE,No
45,Lavender Town,Middle,Daycare Worker,Fighting,58,PokéBall,79,Unpredictable,1,FALSE,No
32,Cinnabar Island,Middle,Police Officer,Electric,68,NetBall,28,Aggressive,3,FALSE,No
46,Fuchsia City,Middle,Gym Leader Assistant,Normal,38,DarkBall,32,Unpredictable,6,FALSE,No
46,Saffron City,Middle,Gym Leader Assistant,Fairy,46,LuxuryBall,59,Defensive,20,FALSE,No
10,Fuchsia City,Middle,Scientist,Normal,66,PokéBall,53,Aggressive,19,FALSE,No
49,Saffron City,Middle,Scientist,Ghost,23,GreatBall,76,Aggressive,17,FALSE,No
58,Cerulean City,Middle,Police Officer,Bug,41,HealBall,23,Aggressive,9,FALSE,No
29,Pallet Town,Middle,Biker,Poison,62,GreatBall,48,Defensive,21,FALSE,No
68,Pallet Town,Middle,Scientist,Electric,42,DarkBall,30,Unpredictable,14,FALSE,No
41,Lavender Town,Middle,Rocket Grunt,Steel,28,TimerBall,49,Unpredictable,6,FALSE,No
39,Viridian City,High,Underground Battler,Fire,49,UltraBall,33,Unpredictable,19,FALSE,No
42,Viridian City,Middle,Black Market Dealer,Psychic,50,GreatBall,65,Unpredictable,2,FALSE,No
60,Viridian City,Low,Biker,Fire,38,TimerBall,76,Defensive,21,FALSE,No
32,Vermilion City,Middle,Nurse,Normal,18,UltraBall,28,Aggressive,15,FALSE,No
31,Saffron City,Middle,Breeder,Ground,26,UltraBall,75,Unpredictable,8,FALSE,No
44,Saffron City,High,Daycare Worker,Dragon,43,DarkBall,61,Aggressive,22,FALSE,No
36,Cerulean City,Middle,Police Officer,Steel,42,TimerBall,79,Aggressive,4,FALSE,No
37,Fuchsia City,Low,Nurse,Poison,47,TimerBall,83,Aggressive,21,FALSE,No
55,Vermilion City,Middle,Scientist,Flying,65,NetBall,36,Unpredictable,6,FALSE,No
30,Pallet Town,Low,Biker,Rock,17,MasterBall,90,Aggressive,20,FALSE,Yes
49,Vermilion City,Middle,Breeder,Flying,35,NetBall,32,Defensive,22,FALSE,No
35,Pallet Town,Middle,Champion,Ice,57,MasterBall,39,Defensive,15,FALSE,No
59,Pallet Town,Low,Fisherman,Water,26,UltraBall,77,Aggressive,7,FALSE,No
67,Vermilion City,High,Researcher,Bug,100,GreatBall,58,Unpredictable,18,FALSE,No
59,Celadon City,High,Casino Worker,Fire,13,PokéBall,38,Unpredictable,6,FALSE,No
66,Celadon City,Middle,Fisherman,Poison,15,DuskBall,55,Aggressive,14,FALSE,No
31,Pallet Town,High,Underground Battler,Dragon,35,NetBall,68,Aggressive,1,FALSE,No
55,Fuchsia City,Middle,Rocket Grunt,Fire,43,DuskBall,54,Defensive,8,FALSE,No
11,Cinnabar Island,Middle,Black Market Dealer,Dark,78,DuskBall,74,Aggressive,26,TRUE,Yes
70,Saffron City,Middle,Underground Battler,Fighting,54,DuskBall,32,Unpredictable,11,TRUE,Yes
53,Pallet Town,Low,Rocket Grunt,Rock,59,TimerBall,48,Unpredictable,18,FALSE,No
21,Pallet Town,Middle,Champion,Normal,92,GreatBall,61,Unpredictable,11,FALSE,No
29,Lavender Town,Middle,Police Officer,Rock,55,DuskBall,84,Aggressive,26,TRUE,Yes
61,Cinnabar Island,Middle,Underground Battler,Grass,100,HealBall,66,Unpredictable,3,TRUE,Yes
69,Fuchsia City,Middle,Researcher,Dragon,36,LuxuryBall,45,Unpredictable,1,FALSE,No
16,Viridian City,Low,Rocket Grunt,Ice,48,GreatBall,44,Aggressive,4,FALSE,No
51,Lavender Town,Low,Elite Trainer,Electric,79,DarkBall,66,Unpredictable,9,FALSE,No
64,Pewter City,Low,Champion,Flying,41,NetBall,31,Unpredictable,3,FALSE,No
10,Cinnabar Island,Middle,Daycare Worker,Grass,46,TimerBall,29,Unpredictable,23,FALSE,No
52,Pallet Town,Middle,Casino Worker,Fighting,65,UltraBall,21,Aggressive,4,FALSE,No
26,Pallet Town,Low,Biker,Ground,17,TimerBall,49,Defensive,24,FALSE,No
64,Cerulean City,Middle,Breeder,Steel,75,NetBall,82,Aggressive,14,FALSE,No
65,Cerulean City,Low,Elite Trainer,Fairy,64,MasterBall,83,Unpredictable,24,FALSE,No
58,Viridian City,Low,Researcher,Psychic,45,DarkBall,34,Unpredictable,23,FALSE,No
23,Saffron City,Middle,Biker,Ground,25,DuskBall,58,Aggressive,13,FALSE,No
11,Vermilion City,Low,Breeder,Fire,92,PokéBall,26,Unpredictable,1,FALSE,No
55,Pewter City,Middle,Fisherman,Ghost,95,HealBall,35,Aggressive,22,FALSE,No
64,Fuchsia City,Middle,Police Officer,Water,90,MasterBall,37,Aggressive,21,FALSE,No
68,Vermilion City,High,Fisherman,Poison,94,PokéBall,60,Defensive,24,FALSE,No
70,Fuchsia City,Middle,Nurse,Poison,82,HealBall,45,Unpredictable,12,FALSE,No
17,Saffron City,Middle,Biker,Flying,57,NetBall,57,Defensive,23,TRUE,Yes
69,Pallet Town,Middle,Biker,Ice,70,DarkBall,80,Defensive,5,FALSE,No
29,Pewter City,Middle,Biker,Steel,18,UltraBall,51,Aggressive,2,FALSE,No
35,Celadon City,High,Researcher,Poison,86,GreatBall,56,Defensive,23,TRUE,Yes
31,Viridian City,Middle,Daycare Worker,Psychic,56,HealBall,59,Aggressive,15,FALSE,Yes
13,Cerulean City,Middle,Black Market Dealer,Flying,61,HealBall,32,Defensive,15,FALSE,No
38,Pewter City,Low,Daycare Worker,Dark,84,TimerBall,69,Unpredictable,21,FALSE,No
14,Pewter City,Low,Daycare Worker,Dragon,53,LuxuryBall,70,Unpredictable,15,FALSE,No
18,Fuchsia City,Middle,Researcher,Steel,60,MasterBall,36,Defensive,14,FALSE,No
49,Vermilion City,Middle,Biker,Rock,53,UltraBall,84,Unpredictable,22,FALSE,No
30,Cerulean City,Middle,PokéMart Seller,Dragon,9,UltraBall,27,Aggressive,12,FALSE,No
13,Pewter City,Middle,Scientist,Bug,35,MasterBall,39,Unpredictable,24,TRUE,Yes
67,Pewter City,High,Casino Worker,Fire,66,LuxuryBall,66,Defensive,4,FALSE,No
16,Viridian City,Low,Champion,Ghost,60,PokéBall,61,Defensive,23,FALSE,No
67,Celadon City,Middle,Fisherman,Psychic,28,GreatBall,46,Defensive,20,FALSE,No
47,Viridian City,Low,Gym Leader Assistant,Ghost,36,DuskBall,53,Unpredictable,6,FALSE,No
58,Celadon City,Middle,Casino Worker,Ghost,5,DuskBall,45,Defensive,18,FALSE,No
61,Vermilion City,Low,Casino Worker,Ground,52,LuxuryBall,39,Unpredictable,2,FALSE,No
25,Saffron City,Middle,Biker,Ice,36,LuxuryBall,79,Defensive,17,FALSE,No
26,Pallet Town,Middle,Underground Battler,Water,39,NetBall,39,Unpredictable,25,FALSE,No
21,Lavender Town,Middle,Researcher,Fairy,36,NetBall,24,Defensive,8,FALSE,No
26,Lavender Town,Middle,Elite Trainer,Electric,87,NetBall,56,Aggressive,16,FALSE,No
44,Celadon City,Middle,Black Market Dealer,Ice,78,NetBall,27,Aggressive,8,FALSE,No
11,Pallet Town,Middle,Underground Battler,Poison,57,PokéBall,73,Unpredictable,13,TRUE,Yes
28,Saffron City,Low,PokéMart Seller,Dragon,89,HealBall,66,Defensive,8,FALSE,No
54,Cinnabar Island,High,Breeder,Bug,56,DarkBall,74,Aggressive,22,FALSE,No
43,Fuchsia City,High,Gym Leader Assistant,Ice,5,DarkBall,73,Unpredictable,14,FALSE,No
58,Celadon City,Middle,Elite Trainer,Ice,32,NetBall,51,Defensive,24,TRUE,Yes
40,Cerulean City,Low,Scientist,Ground,57,TimerBall,26,Unpredictable,5,FALSE,No
30,Cerulean City,High,Researcher,Ground,41,NetBall,26,Defensive,1,FALSE,No
42,Cinnabar Island,Low,Casino Worker,Electric,49,UltraBall,21,Aggressive,0,FALSE,No
20,Cinnabar Island,Middle,Scientist,Fairy,9,NetBall,60,Defensive,15,FALSE,No
36,Fuchsia City,Middle,Black Market Dealer,Water,9,NetBall,57,Unpredictable,2,FALSE,No
43,Viridian City,Middle,Underground Battler,Grass,82,TimerBall,74,Aggressive,17,FALSE,No
56,Vermilion City,Middle,Rocket Grunt,Dragon,7,DarkBall,43,Aggressive,24,FALSE,No
11,Celadon City,Middle,Researcher,Grass,94,NetBall,64,Aggressive,29,TRUE,Yes
28,Pallet Town,High,Scientist,Steel,28,GreatBall,25,Defensive,20,FALSE,No
64,Cinnabar Island,High,Breeder,Ghost,77,DarkBall,42,Aggressive,16,FALSE,No
22,Vermilion City,Low,Scientist,Ground,58,LuxuryBall,54,Defensive,17,FALSE,No
28,Saffron City,Middle,Gym Leader Assistant,Grass,100,HealBall,52,Defensive,9,FALSE,Yes
28,Saffron City,Middle,Fisherman,Steel,71,LuxuryBall,30,Defensive,14,FALSE,No
58,Vermilion City,Low,Underground Battler,Flying,92,HealBall,39,Defensive,14,TRUE,Yes
13,Lavender Town,Middle,Fisherman,Steel,38,PokéBall,52,Defensive,7,TRUE,Yes
41,Cinnabar Island,Middle,Breeder,Ice,10,DuskBall,74,Defensive,21,FALSE,No
30,Cinnabar Island,Middle,Police Officer,Dragon,90,NetBall,20,Unpredictable,23,FALSE,No
50,Vermilion City,Low,Gym Leader Assistant,Steel,9,NetBall,41,Unpredictable,16,FALSE,No
54,Pallet Town,Middle,Elite Trainer,Psychic,60,MasterBall,23,Aggressive,19,FALSE,No
50,Celadon City,High,Researcher,Dark,99,UltraBall,82,Unpredictable,25,FALSE,No
63,Saffron City,Low,Breeder,Flying,92,LuxuryBall,79,Aggressive,25,FALSE,No
23,Celadon City,Middle,Police Officer,Fairy,83,NetBall,40,Aggressive,10,FALSE,No
48,Cinnabar Island,Low,Biker,Bug,70,PokéBall,67,Unpredictable,24,TRUE,Yes
13,Cinnabar Island,Middle,Scientist,Normal,59,GreatBall,62,Unpredictable,20,FALSE,No
31,Vermilion City,Middle,Police Officer,Fighting,12,UltraBall,62,Unpredictable,18,FALSE,No
55,Celadon City,Low,Rocket Grunt,Bug,6,HealBall,55,Defensive,6,FALSE,No
13,Viridian City,Low,Gym Leader Assistant,Psychic,19,PokéBall,62,Aggressive,10,FALSE,Yes
68,Pallet Town,Middle,Black Market Dealer,Ghost,46,MasterBall,77,Unpredictable,23,TRUE,Yes
44,Vermilion City,Middle,Elite Trainer,Psychic,94,HealBall,79,Unpredictable,13,FALSE,No
